Name,ROM,Color,Type,Lazada,TGDD
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000,
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000,
            iphone 7 ,128G,null,null,17500000,18990000,
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,18990000,
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,18990000,
            Điện thoại iPhone 7 Plus ,32G,,null,21990000,18990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đen, Hàng nhập khẩu,15792000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16452000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,13663000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,15190000,19990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15007000,19990000,
            Apple iPhone 7 ,32G,Vàng, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,14053000,19990000,
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14100000,19990000,
            Apple iPhone 7 Plus ,128G,Đen, Hàng nhập khẩu,18706000,22990000,
            Apple iPhone 7 Plus ,128G,Đen, Hãng Phân phối chính thức,19270000,22990000,
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,22990000,
            Apple iPhone 7 Plus ,128G,null,hàng nhập khẩu,21900000,22990000,
            Apple iPhone 7 Plus ,32G,Vàng hồng, Hàng nhập khẩu,16544000,19990000,
            Apple iPhone 7 Plus ,32G,Vàng, Hàng nhập khẩu,16544000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, HÀNG CHÍNH HÃNG,15490000,19990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đen, Hàng nhập khẩu,15792000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16452000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,13663000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,15190000,19990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15007000,19990000,
            Apple iPhone 7 ,32G,Vàng, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,14053000,19990000,
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14100000,19990000,
            Apple iPhone 7 ,32G,Đen bóng, Hàng nhập khẩu,14006000,19990000,
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,23500000,22990000,
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,22990000,
            Apple iPhone 7 Plus ,32G,Vàng, Hàng nhập khẩu,16544000,19990000,
            Apple iPhone 7 Plus ,32G,Đen, Hàng nhập khẩu,16196000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,
            Apple iPhone 7 ,128G,Đen, Hàng nhập khẩu,15792000,18990000,
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16452000,18990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,13663000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,19990000,
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,15190000,19990000,
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15007000,19990000,
            Apple iPhone 7 ,32G,Vàng, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13818000,19990000,
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,14053000,19990000,
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14100000,19990000,
            Apple iPhone 7 ,32G,Đen bóng, Hàng nhập khẩu,14006000,19990000,
            Apple iPhone 7 Plus ,128G,Đỏ, Hàng nhập khẩu,23500000,22990000,
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,22990000,
            Apple iPhone 7 Plus ,32G,Vàng, Hàng nhập khẩu,16544000,19990000,
            Apple iPhone 7 Plus ,32G,Đen, Hàng nhập khẩu,16196000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,
            Apple Iphone 7 ,128G,Vàng hồng,null,15792000,18990000,22999000
            Apple iPhone 7 ,128G,Vàng, Hàng nhập khẩu,15792000,18990000,22999000
            Apple iPhone 7 ,128G,Vàng, Hãng phân phối chính thức,18700000,18990000,22999000
            Apple iPhone 7 ,128G,Đen, Hàng nhập khẩu,15792000,18990000,22999000
            Apple iPhone 7 ,128G,Đỏ, Hàng nhập khẩu,16452000,18990000,22999000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,13658000,19990000,22999000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,13663000,19990000,22999000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,14620000,19990000,22999000
            Apple iPhone 7 ,32G,Vàng Hồng,Hàng nhập khẩu,15190000,19990000,22999000
            Apple iPhone 7 ,32G,Vàng hồng, Hãng Phân Phối Chính Thức,15007000,19990000,22999000
            Apple iPhone 7 ,32G,Vàng, Hàng nhập khẩu,13818000,19990000,22999000
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,13818000,19990000,22999000
            Apple iPhone 7 ,32G,Đen, Hàng nhập khẩu,14053000,19990000,22999000
            Apple iPhone 7 ,32G,Đen, Hãng Phân phối chính thức,14100000,19990000,22999000
            Apple iPhone 7 Plus ,128G,Vàng, Hàng nhập khẩu,18776000,22990000,8690000
            Apple iPhone 7 Plus ,128G,Đỏ,null,25190000,22990000,8690000
            Apple iPhone 7 Plus ,32G,Bạc, Hàng nhập khẩu,16920000,19990000,8690000
            Apple iPhone 7 Plus ,32G,Vàng hồng, Hàng nhập khẩu,16544000,19990000,8690000
            Apple iPhone 7 Plus ,32G,Vàng, Hàng nhập khẩu,16544000,19990000,8690000
            Apple iPhone 7 Plus ,32G,Đen, Hàng nhập khẩu,16196000,19990000,8690000
            IPHONE 7PLUS ,128G,null,null,20000000,22990000,22999000
            iPHONE 7 PLUS ,32G,null, Hàng nhập khẩu,17700000,19990000,19999000
            iPhone 7 ,128G,null, HÀNG CHÍNH HÃNG,17990000,18990000,22999000
            iPhone 7 ,256G,null, Hãng Phân phối chính thức,19999000,23990000,19999000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,19999000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,19999000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,19999000
            iPhone 7 ,32G,null, Hãng Phân phối chính thức,15999000,19990000,19999000
            iPhone 7 Plus ,128G,null, Hãng phân phối chính thức,22999000,22990000,22999000
            iPhone 7 Plus ,256G,null, Hãng Phân phối chính thức,24999000,23990000,23999000
            iPhone 7 Plus ,32G,null, Hãng Phân phối chính thức,19999000,19990000,19999000
            iphone 7 ,128G,null,null,17500000,18990000,22999000
            Điện thoại iPhone 7 - ,256G,null, 256GB - chính hãng FPT,21990000,,22999000
            Điện thoại iPhone 7 - ,32G,null, 32GB - chính hãng FPT,18790000,,22999000
            Samsung Galaxy A7 2016 ,16G,Vàng, Hãng phân phối chính thức,10990000,4020000,8990000
            Samsung Galaxy A7 2017 ,32G,Hồng, Hãng phân phối chính thức,10099000,9990000,9990000
            Samsung Galaxy A7 2017 ,32G,Hồng, Hãng phân phối chính thức,9990000,9990000,9990000
            Samsung Galaxy J1 2016 ,8G,Trắng, Hàng phân phối chính thức,1969000,1240000,2390000
            Samsung Galaxy J1 2016 ,8G,Vàng, Hàng phân phối chính thức,1969000,1240000,2390000
            Samsung Galaxy J3 2016 ,null,Đen, Hàng nhập khẩu,3190000,90000,2990000
            Samsung Galaxy J3 Pro ,null,Vàng, Hãng phân phối chính thức,3711000,4490000,4490000
            Samsung Galaxy J3 Pro ,16G,,(Hàng Nhập Khẩu),4590000,4490000,4490000
            Samsung Galaxy J3 Pro ,16G,Vàng, Hàng nhập khẩu,3190000,4490000,4490000
            Samsung Galaxy J3 Pro ,16G,,null,4590000,4490000,4490000
            Samsung Galaxy J3 Pro ,16G,,null,4590000,4490000,4490000
            Samsung Galaxy J5 Prime ,16G,Đen, Hãng phânphốichínhthức,4188000,2400000,4490000
            Samsung Galaxy J7 2016 ,16G,Vàng, Hãng phân phối chính thức,3790000,2250000,5390000
            Samsung Galaxy J7 2016 ,16G,Đen, Hàng phân phối chính thức,3790000,2250000,5390000
